,Species,phyloFlash hit,DeLUCS hit
0,Clostridium_perfringens,1,1
1,Clostridium_thermocellum,1,1
2,Coraliomargarita_akajimensis,1,1
3,Corynebacterium_glutamicum,1,1
4,Desulfosporosinus_acidiphilus,1,1
5,Desulfosporosinus_meridiei,1,1
6,Desulfotomaculum_gibsoniae,1,1
7,E.coli,0,1
8,Echinicola_vietnamensis,1,1
9,Fervidobacterium_pennivorans,0,1
10,Frateuria_aurantia,1,1
11,Halovivax_ruber,1,1
12,Hirschia_baltica,1,1
13,Meiothermus_silvanus,1,1
14,Natronobacterium_gregoryi,1,1
15,Natronococcus_occultus,1,1
16,Nocardiopsis_dassonvillei,0,1
17,Olsenella_uli,1,0
18,Pseudomonas_stutzeri,1,1
19,Salmonella_bongori,0,0
20,Salmonella_enterica,1,1
21,Segniliparus_rotundus,1,0
22,Spirochaeta_smaragdinae,1,1
23,Streptococcus_pyogenes,1,0
24,Terriglobus_roseus,1,1
25,Thermobacillus_composti,1,1
