Species,Mean Binned Cov,STDev,Avg Barrnap Cov
Clostridium perfringens,43.6315,130.8975,8462.1927
Clostridium thermocellum,39.235,139.833,10281.34535
Coraliomargarita akajimensis,232.104,40.476,3456.7263
Corynebacterium glutamicum,30.1775,62.191,6862.89155
Desulfosporosinus acidiphilus,805.3675,400.667,10702.99045
Desulfosporosinus meridiei,268.9395,147.1,8882.7147
Desulfotomaculum gibsoniae,374.9885,97.39,6704.18345
E.coli,24.345,78.6165,1127.52105
Echinicola vietnamensis,30.3545,44.419,4628.7747
Fervidobacterium pennivorans,1352.4715,125.178,3570.00465
Frateuria aurantia,288.41,127.5955,8239.41665
Halovivax ruber,166.595,45.013,1936.0515
Hirschia baltica,587.0685,101.849,6068.70405
Meiothermus silvanus,616.9535,174.7365,6159.9463
Natronobacterium gregoryi,204.67,48.6105,1910.5622
Natronococcus occultus,235.329,84.997,1864.7698
Nocardiopsis dassonvillei,4.2015,45.881,5684.0052
Olsenella uli,285.9935,152.9325,5974.50465
Pseudomonas stutzeri,96.776,101.2225,8363.8864
Salmonella bongori,36.221,80.702,5025.2991
Salmonella enterica subsp. arizonae serovar,42.0875,70.132,3540.7461
Segniliparus rotundus,119.615,88.4815,6988.27065
Spirochaeta smaragdinae,623.5855,176.223,6043.5318
Streptococcus pyogenes,76.805,137.1465,9421.74145
Terriglobus roseus,122.145,103.184,6880.63285
Thermobacillus composti,525.915,171.4875,7553.06865
