Species,Whole Genome,16S
Clostridium_perfringens,264,4792
Clostridium_thermocellum,351,1744
Coraliomargarita_akajimensis,139,1140
Corynebacterium_glutamicum,346,3378
Desulfosporosinus_acidiphilus,146,3130
Desulfosporosinus_meridiei,146,5060
Desulfotomaculum_gibsoniae,216,3618
E.coli,304,4235
Echinicola_vietnamensis,0,2200
Fervidobacterium_pennivorans,0,466
Frateuria_aurantia,224,2600
Halovivax_ruber,0,1140
Hirschia_baltica,0,1037
Meiothermus_silvanus,159,632
Natronobacterium_gregoryi,70,1800
Natronococcus_occultus,71,2236
Nocardiopsis_dassonvillei,587,2214
Olsenella_uli,400,645
Pseudomonas_stutzeri,152,2483
Salmonella_bongori,228,4235
Salmonella_enterica,380,4235
Segniliparus_rotundus,62,571
Spirochaeta_smaragdinae,74,1113
Streptococcus_pyogenes,0,3348
Terriglobus_roseus,152,1200
Thermobacillus_composti,66,2195
