PhyloFlash header,Target sequence length,Closest hit to reference 16S,Reference sequence length,HD for closest hit
9_7.180821,1484,Candidatus Thermochlorobacteriaceae bacterium GBChlB,1,584
9_7.180821,1484,Synechococcus sp. JA-3-3Ab,1,842
9_7.180821,1484,Synechococcus sp. JA-2-3B'a(2-13),1,798
9_7.180821,1484,Candidatus Solibacter usitatus Ellin6076,1,715
9_7.180821,1484,Roseiflexus sp. RS-1,1,716
9_7.180821,1484,Roseiflexus castenholzii DSM 13941,1,733
9_7.180821,1484,Pseudothermotoga lettingae TMO,1,914
9_7.180821,1484,Chloroflexus aurantiacus J-10-fl,1,843
9_7.180821,1484,Chloroflexus aggregans DSM 9485,1,4
9_7.180821,1484,Chloroflexus aurantiacus Y-400-fl,1,843
9_7.180821,1484,Meiothermus ruber DSM 1279,1,1011
9_7.180821,1484,Meiothermus silvanus DSM 9946,1,1034
9_7.180821,1484,Chloracidobacterium thermophilum B,1,861
9_7.180821,1484,Ignavibacterium album JCM 16511,1,938
9_7.180821,1484,Pseudanabaena sp. PCC 7367,1,1076
9_7.180821,1484,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,906
9_7.180821,1484,Oscillochloris trichoides DG-6,1,518
9_7.180821,1484,Caldimicrobium thiodismutans strain TF1,1,908
9_7.180821,1484,Pseudanabaena sp. ABRG5-3,1,992
9_7.180821,1484,Elioraea tepidiphila DSM 17972,1,1042
9_7.180821,1484,Thermodesulfovibrio thiophilus DSM 17215,1,904
9_7.180821,1484,Chloroflexus sp. Y-396-1,1,377
9_7.180821,1484,Thermocrinis ruber strain DSM 23557,1,938
9_7.180821,1484,Thermus aquaticus Y51MC23,1,919
9_7.180821,1484,Thermus brockianus strain GE-1,1,926
9_7.180821,1484,Gloeomargarita lithophora Alchichica-D10,1,1030
9_7.180821,1484,Meiothermus taiwanensis WR-220,1,999
9_7.180821,1484,Chloroflexus sp. MS-G,1,394
9_7.180821,1484,Chloroflexus islandicus strain isl-2,1,176
9_7.180821,1484,Thermodesulfovibrio sp. N1,1,888
8_6.341530,1486,Candidatus Thermochlorobacteriaceae bacterium GBChlB,1,588
8_6.341530,1486,Synechococcus sp. JA-3-3Ab,1,1039
8_6.341530,1486,Synechococcus sp. JA-2-3B'a(2-13),1,1022
8_6.341530,1486,Candidatus Solibacter usitatus Ellin6076,1,767
8_6.341530,1486,Roseiflexus sp. RS-1,1,1037
8_6.341530,1486,Roseiflexus castenholzii DSM 13941,1,929
8_6.341530,1486,Pseudothermotoga lettingae TMO,1,918
8_6.341530,1486,Chloroflexus aurantiacus J-10-fl,1,1033
8_6.341530,1486,Chloroflexus aggregans DSM 9485,1,1026
8_6.341530,1486,Chloroflexus aurantiacus Y-400-fl,1,1033
8_6.341530,1486,Meiothermus ruber DSM 1279,1,992
8_6.341530,1486,Meiothermus silvanus DSM 9946,1,1027
8_6.341530,1486,Chloracidobacterium thermophilum B,1,797
8_6.341530,1486,Ignavibacterium album JCM 16511,1,884
8_6.341530,1486,Pseudanabaena sp. PCC 7367,1,396
8_6.341530,1486,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,1,923
8_6.341530,1486,Oscillochloris trichoides DG-6,1,841
8_6.341530,1486,Caldimicrobium thiodismutans strain TF1,1,921
8_6.341530,1486,Pseudanabaena sp. ABRG5-3,1,600
8_6.341530,1486,Elioraea tepidiphila DSM 17972,1,779
8_6.341530,1486,Thermodesulfovibrio thiophilus DSM 17215,1,915
8_6.341530,1486,Chloroflexus sp. Y-396-1,1,1040
8_6.341530,1486,Thermocrinis ruber strain DSM 23557,1,927
