Reference 1,Reference 1 sequence length,Reference 2,Reference 2 sequence length,Hamming distance
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,0
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,555
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,556
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,578
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,569
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,575
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,602
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,580
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,584
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,580
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,469
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,474
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,593
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,580
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,555
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,594
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Oscillochloris_trichoides_DG-6:1-1418(+),1417,684
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,576
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,550
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,564
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Thermodesulfovibrio_thiophilus_DSM_17215:3513-5045(+),1532,574
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloroflexus_sp._Y-396-1:2936202-2937687(-),1485,581
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Thermocrinis_ruber_strain_DSM_23557:557272-558830(-),1558,584
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Thermus_aquaticus_Y51MC23:220083-221598(+),1515,588
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Thermus_brockianus_strain_GE-1:1373777-1375296(+),1519,585
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Gloeomargarita_lithophora_Alchichica-D10:807823-809309(-),1486,588
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Meiothermus_taiwanensis_WR-220:2629987-2631474(-),1487,467
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloroflexus_sp._MS-G:16-1502(-),1486,581
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Chloroflexus_islandicus_strain_isl-2:1-1481(+),1480,588
Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,Thermodesulfovibrio_sp._N1:7307-8840(-),1533,570
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,555
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,0
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,331
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,679
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,899
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,826
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,916
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,849
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,843
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,849
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,939
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,925
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,845
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,921
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,1031
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,917
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Oscillochloris_trichoides_DG-6:1-1418(+),1417,871
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,898
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,1062
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,1035
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Thermodesulfovibrio_thiophilus_DSM_17215:3513-5045(+),1532,896
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloroflexus_sp._Y-396-1:2936202-2937687(-),1485,835
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Thermocrinis_ruber_strain_DSM_23557:557272-558830(-),1558,923
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Thermus_aquaticus_Y51MC23:220083-221598(+),1515,880
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Thermus_brockianus_strain_GE-1:1373777-1375296(+),1519,850
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Gloeomargarita_lithophora_Alchichica-D10:807823-809309(-),1486,1039
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Meiothermus_taiwanensis_WR-220:2629987-2631474(-),1487,938
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloroflexus_sp._MS-G:16-1502(-),1486,837
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Chloroflexus_islandicus_strain_isl-2:1-1481(+),1480,852
Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,Thermodesulfovibrio_sp._N1:7307-8840(-),1533,892
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,556
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,331
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,0
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,652
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,856
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,856
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,906
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,813
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,799
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,813
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,943
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,943
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,820
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,931
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,1051
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,896
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Oscillochloris_trichoides_DG-6:1-1418(+),1417,773
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,907
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,1046
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,1050
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Thermodesulfovibrio_thiophilus_DSM_17215:3513-5045(+),1532,748
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloroflexus_sp._Y-396-1:2936202-2937687(-),1485,838
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Thermocrinis_ruber_strain_DSM_23557:557272-558830(-),1558,938
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Thermus_aquaticus_Y51MC23:220083-221598(+),1515,874
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Thermus_brockianus_strain_GE-1:1373777-1375296(+),1519,875
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Gloeomargarita_lithophora_Alchichica-D10:807823-809309(-),1486,1022
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Meiothermus_taiwanensis_WR-220:2629987-2631474(-),1487,942
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloroflexus_sp._MS-G:16-1502(-),1486,841
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Chloroflexus_islandicus_strain_isl-2:1-1481(+),1480,816
Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,Thermodesulfovibrio_sp._N1:7307-8840(-),1533,739
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,578
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,679
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,652
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,0
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,760
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,779
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,917
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,695
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,715
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,695
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,861
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,858
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,921
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,891
