Query ID,Subject ID,Percent identity
Caldimicrobium thiodismutans strain TF1,Caldimicrobium thiodismutans strain TF1,100
Caldimicrobium thiodismutans strain TF1,Candidatus Solibacter usitatus Ellin6076,75.6
Caldimicrobium thiodismutans strain TF1,Candidatus Thermochlorobacteriaceae bacterium GBChlB,76.2
Caldimicrobium thiodismutans strain TF1,Chloracidobacterium thermophilum B,75.9
Caldimicrobium thiodismutans strain TF1,Chloroflexus aggregans DSM 9485,72.3
Caldimicrobium thiodismutans strain TF1,Chloroflexus aurantiacus J-10-fl,73.9
Caldimicrobium thiodismutans strain TF1,Chloroflexus aurantiacus Y-400-fl,73.9
Caldimicrobium thiodismutans strain TF1,Chloroflexus islandicus strain isl-2,72.6
Caldimicrobium thiodismutans strain TF1,Chloroflexus sp. MS-G,73.7
Caldimicrobium thiodismutans strain TF1,Chloroflexus sp. Y-396-1,73.5
Caldimicrobium thiodismutans strain TF1,Elioraea tepidiphila DSM 17972,77.3
Caldimicrobium thiodismutans strain TF1,Gloeomargarita lithophora Alchichica-D10,76.1
Caldimicrobium thiodismutans strain TF1,Ignavibacterium album JCM 16511,77
Caldimicrobium thiodismutans strain TF1,Meiothermus ruber DSM 1279,75.6
Caldimicrobium thiodismutans strain TF1,Meiothermus silvanus DSM 9946,76.9
Caldimicrobium thiodismutans strain TF1,Meiothermus taiwanensis WR-220,76.2
Caldimicrobium thiodismutans strain TF1,Oscillochloris trichoides DG-6,72.2
Caldimicrobium thiodismutans strain TF1,Pseudanabaena sp. ABRG5-3,75.4
Caldimicrobium thiodismutans strain TF1,Pseudanabaena sp. PCC 7367,75.3
Caldimicrobium thiodismutans strain TF1,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,80
Caldimicrobium thiodismutans strain TF1,Pseudothermotoga lettingae TMO,79.4
Caldimicrobium thiodismutans strain TF1,Roseiflexus castenholzii DSM 13941,73.4
Caldimicrobium thiodismutans strain TF1,Roseiflexus sp. RS-1,73.6
Caldimicrobium thiodismutans strain TF1,Synechococcus sp. JA-2-3B'a(2-13),76
Caldimicrobium thiodismutans strain TF1,Synechococcus sp. JA-3-3Ab,75.8
Caldimicrobium thiodismutans strain TF1,Thermocrinis ruber strain DSM 23557,78.3
Caldimicrobium thiodismutans strain TF1,Thermodesulfovibrio sp. N1,79.5
Caldimicrobium thiodismutans strain TF1,Thermodesulfovibrio thiophilus DSM 17215,78.5
Caldimicrobium thiodismutans strain TF1,Thermus aquaticus Y51MC23,78.3
Caldimicrobium thiodismutans strain TF1,Thermus brockianus strain GE-1,79
Candidatus Solibacter usitatus Ellin6076,Caldimicrobium thiodismutans strain TF1,75.6
Candidatus Solibacter usitatus Ellin6076,Candidatus Solibacter usitatus Ellin6076,100
Candidatus Solibacter usitatus Ellin6076,Candidatus Thermochlorobacteriaceae bacterium GBChlB,76.8
Candidatus Solibacter usitatus Ellin6076,Chloracidobacterium thermophilum B,82.2
Candidatus Solibacter usitatus Ellin6076,Chloroflexus aggregans DSM 9485,74.8
Candidatus Solibacter usitatus Ellin6076,Chloroflexus aurantiacus J-10-fl,75.5
Candidatus Solibacter usitatus Ellin6076,Chloroflexus aurantiacus Y-400-fl,75.5
Candidatus Solibacter usitatus Ellin6076,Chloroflexus islandicus strain isl-2,75.3
Candidatus Solibacter usitatus Ellin6076,Chloroflexus sp. MS-G,75.1
Candidatus Solibacter usitatus Ellin6076,Chloroflexus sp. Y-396-1,75.2
Candidatus Solibacter usitatus Ellin6076,Elioraea tepidiphila DSM 17972,78.8
Candidatus Solibacter usitatus Ellin6076,Gloeomargarita lithophora Alchichica-D10,76.7
Candidatus Solibacter usitatus Ellin6076,Ignavibacterium album JCM 16511,76.6
Candidatus Solibacter usitatus Ellin6076,Meiothermus ruber DSM 1279,75.6
Candidatus Solibacter usitatus Ellin6076,Meiothermus silvanus DSM 9946,76.6
Candidatus Solibacter usitatus Ellin6076,Meiothermus taiwanensis WR-220,76.2
Candidatus Solibacter usitatus Ellin6076,Oscillochloris trichoides DG-6,75.7
Candidatus Solibacter usitatus Ellin6076,Pseudanabaena sp. ABRG5-3,77.1
Candidatus Solibacter usitatus Ellin6076,Pseudanabaena sp. PCC 7367,77.2
Candidatus Solibacter usitatus Ellin6076,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,75.7
Candidatus Solibacter usitatus Ellin6076,Pseudothermotoga lettingae TMO,75.6
Candidatus Solibacter usitatus Ellin6076,Roseiflexus castenholzii DSM 13941,73.3
Candidatus Solibacter usitatus Ellin6076,Roseiflexus sp. RS-1,73.3
Candidatus Solibacter usitatus Ellin6076,Synechococcus sp. JA-2-3B'a(2-13),76.8
