Query ID,Subject ID,Percent identity
Clostridium perfringens,Clostridium perfringens,100
Clostridium perfringens,Clostridium thermocellum,84.7
Clostridium perfringens,Desulfosporosinus meridiei,82.2
Clostridium perfringens,Desulfosporosinus acidiphilus,82.4
Clostridium perfringens,Streptococcus pyogenes,81.2
Clostridium perfringens,Desulfotomaculum gibsoniae,81.9
Clostridium perfringens,Thermobacillus composti,79.9
Clostridium perfringens,Corynebacterium glutamicum,79.8
Clostridium perfringens,Terriglobus roseus,79
Clostridium perfringens,Hirschia baltica,78.9
Clostridium perfringens,Pseudomonas stutzeri,78.5
Clostridium perfringens,Segniliparus rotundus,78.6
Clostridium perfringens,Nocardiopsis dassonvillei,78.1
Clostridium perfringens,Frateuria aurantia,77.2
Clostridium perfringens,Olsenella uli,77.5
Clostridium perfringens,Salmonella bongori,76.5
Clostridium perfringens,Salmonella enterica,76.4
Clostridium perfringens,Escherichia coli,76.2
Clostridium perfringens,Coraliomargarita akajimensis,76
Clostridium perfringens,Meiothermus silvanus,76.7
Clostridium perfringens,Spirochaeta smaragdinae,75.7
Clostridium perfringens,Fervidobacterium pennivorans,75
Clostridium perfringens,Echinicola vietnamensis,73
Clostridium perfringens,Halovivax ruber,68
Clostridium perfringens,Natronobacterium gregoryi,67.9
Clostridium perfringens,Natronococcus occultus,67.1
Clostridium thermocellum,Clostridium thermocellum,100
Clostridium thermocellum,Desulfosporosinus acidiphilus,85.5
Clostridium thermocellum,Desulfosporosinus meridiei,84.2
Clostridium thermocellum,Desulfotomaculum gibsoniae,84.8
Clostridium thermocellum,Clostridium perfringens,84.7
Clostridium thermocellum,Thermobacillus composti,81.8
Clostridium thermocellum,Streptococcus pyogenes,81.7
Clostridium thermocellum,Corynebacterium glutamicum,81.1
Clostridium thermocellum,Segniliparus rotundus,80.5
Clostridium thermocellum,Frateuria aurantia,79.4
Clostridium thermocellum,Olsenella uli,79.8
Clostridium thermocellum,Nocardiopsis dassonvillei,78.9
Clostridium thermocellum,Terriglobus roseus,78.5
Clostridium thermocellum,Pseudomonas stutzeri,78
Clostridium thermocellum,Salmonella enterica,77.4
Clostridium thermocellum,Spirochaeta smaragdinae,77.4
Clostridium thermocellum,Salmonella bongori,76.9
Clostridium thermocellum,Fervidobacterium pennivorans,77.7
Clostridium thermocellum,Escherichia coli,76.9
Clostridium thermocellum,Coraliomargarita akajimensis,76.9
Clostridium thermocellum,Hirschia baltica,76.8
Clostridium thermocellum,Meiothermus silvanus,76.9
Clostridium thermocellum,Echinicola vietnamensis,76.3
Clostridium thermocellum,Halovivax ruber,67.4
Clostridium thermocellum,Natronobacterium gregoryi,68.2
Clostridium thermocellum,Natronococcus occultus,68.6
Coraliomargarita akajimensis,Coraliomargarita akajimensis,100
Coraliomargarita akajimensis,Corynebacterium glutamicum,77.2
Coraliomargarita akajimensis,Nocardiopsis dassonvillei,76.7
Coraliomargarita akajimensis,Clostridium thermocellum,76.9
Coraliomargarita akajimensis,Segniliparus rotundus,76.3
Coraliomargarita akajimensis,Frateuria aurantia,76.5
Coraliomargarita akajimensis,Desulfotomaculum gibsoniae,76.7
Coraliomargarita akajimensis,Clostridium perfringens,76
Coraliomargarita akajimensis,Pseudomonas stutzeri,79.2
Coraliomargarita akajimensis,Desulfosporosinus acidiphilus,77.8
Coraliomargarita akajimensis,Desulfosporosinus meridiei,75.7
Coraliomargarita akajimensis,Salmonella enterica,78.8
Coraliomargarita akajimensis,Salmonella bongori,78.5
Coraliomargarita akajimensis,Escherichia coli,78.6
Coraliomargarita akajimensis,Olsenella uli,75
Coraliomargarita akajimensis,Terriglobus roseus,74.4
Coraliomargarita akajimensis,Thermobacillus composti,74.3
Coraliomargarita akajimensis,Meiothermus silvanus,74.3
Coraliomargarita akajimensis,Streptococcus pyogenes,74.1
Coraliomargarita akajimensis,Spirochaeta smaragdinae,74.5
Coraliomargarita akajimensis,Hirschia baltica,75.9
Coraliomargarita akajimensis,Echinicola vietnamensis,72.7
Coraliomargarita akajimensis,Fervidobacterium pennivorans,73
Corynebacterium glutamicum,Corynebacterium glutamicum,100
Corynebacterium glutamicum,Segniliparus rotundus,90.3
Corynebacterium glutamicum,Nocardiopsis dassonvillei,86.2
Corynebacterium glutamicum,Clostridium thermocellum,81.1
Corynebacterium glutamicum,Desulfotomaculum gibsoniae,81
Corynebacterium glutamicum,Olsenella uli,80.8
Corynebacterium glutamicum,Desulfosporosinus acidiphilus,79.8
Corynebacterium glutamicum,Desulfosporosinus meridiei,79.8
Corynebacterium glutamicum,Clostridium perfringens,79.8
Corynebacterium glutamicum,Streptococcus pyogenes,79
Corynebacterium glutamicum,Frateuria aurantia,79
Corynebacterium glutamicum,Thermobacillus composti,78
Corynebacterium glutamicum,Terriglobus roseus,77.9
Corynebacterium glutamicum,Coraliomargarita akajimensis,77.2
Corynebacterium glutamicum,Salmonella bongori,77.1
Corynebacterium glutamicum,Meiothermus silvanus,77.4
Corynebacterium glutamicum,Salmonella enterica,76.9
Corynebacterium glutamicum,Spirochaeta smaragdinae,76.8
Corynebacterium glutamicum,Pseudomonas stutzeri,77
Corynebacterium glutamicum,Escherichia coli,76.7
Corynebacterium glutamicum,Fervidobacterium pennivorans,76
Corynebacterium glutamicum,Hirschia baltica,75.8
Corynebacterium glutamicum,Echinicola vietnamensis,75.4
Corynebacterium glutamicum,Natronococcus occultus,69.5
Corynebacterium glutamicum,Halovivax ruber,69.1
Corynebacterium glutamicum,Natronobacterium gregoryi,68.9
Desulfosporosinus acidiphilus,Desulfosporosinus acidiphilus,100
Desulfosporosinus acidiphilus,Desulfosporosinus meridiei,96.3
Desulfosporosinus acidiphilus,Desulfotomaculum gibsoniae,86.3
Desulfosporosinus acidiphilus,Thermobacillus composti,85.1
Desulfosporosinus acidiphilus,Clostridium thermocellum,85.5
Desulfosporosinus acidiphilus,Streptococcus pyogenes,83.5
Desulfosporosinus acidiphilus,Clostridium perfringens,82.4
Desulfosporosinus acidiphilus,Corynebacterium glutamicum,79.8
Desulfosporosinus acidiphilus,Nocardiopsis dassonvillei,79.6
Desulfosporosinus acidiphilus,Segniliparus rotundus,79
Desulfosporosinus acidiphilus,Frateuria aurantia,82.2
Desulfosporosinus acidiphilus,Terriglobus roseus,80.8
Desulfosporosinus acidiphilus,Pseudomonas stutzeri,80.9
Desulfosporosinus acidiphilus,Olsenella uli,78.3
Desulfosporosinus acidiphilus,Spirochaeta smaragdinae,81.2
Desulfosporosinus acidiphilus,Meiothermus silvanus,77.4
Desulfosporosinus acidiphilus,Salmonella bongori,79.4
Desulfosporosinus acidiphilus,Escherichia coli,79.3
Desulfosporosinus acidiphilus,Salmonella enterica,79.5
Desulfosporosinus acidiphilus,Hirschia baltica,76.2
Desulfosporosinus acidiphilus,Coraliomargarita akajimensis,77.8
Desulfosporosinus acidiphilus,Fervidobacterium pennivorans,76.7
Desulfosporosinus acidiphilus,Echinicola vietnamensis,74.1
Desulfosporosinus acidiphilus,Natronobacterium gregoryi,69.4
Desulfosporosinus acidiphilus,Halovivax ruber,68.3
Desulfosporosinus acidiphilus,Natronococcus occultus,68.9
Desulfosporosinus meridiei,Desulfosporosinus meridiei,100
Desulfosporosinus meridiei,Desulfosporosinus acidiphilus,96.3
Desulfosporosinus meridiei,Desulfotomaculum gibsoniae,85.6
Desulfosporosinus meridiei,Thermobacillus composti,83.5
Desulfosporosinus meridiei,Clostridium thermocellum,84.2
Desulfosporosinus meridiei,Streptococcus pyogenes,83.2
Desulfosporosinus meridiei,Clostridium perfringens,82.2
Desulfosporosinus meridiei,Corynebacterium glutamicum,79.8
Desulfosporosinus meridiei,Segniliparus rotundus,79
Desulfosporosinus meridiei,Frateuria aurantia,79.5
Desulfosporosinus meridiei,Nocardiopsis dassonvillei,78.9
