Query ID,Subject ID,Percent identity
1_21.709937,Roseiflexus sp. RS-1,100
1_21.709937,Roseiflexus castenholzii DSM 13941,95.5
1_21.709937,Thermodesulfovibrio sp. N1,75
1_21.709937,Thermodesulfovibrio thiophilus DSM 17215,73.8
1_21.709937,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,72.9
1_21.709937,Thermocrinis ruber strain DSM 23557,73.1
1_21.709937,Synechococcus sp. JA-2-3B'a(2-13),77.9
1_21.709937,Synechococcus sp. JA-3-3Ab,77.6
1_21.709937,Chloracidobacterium thermophilum B,74
1_21.709937,Pseudanabaena sp. PCC 7367,75.1
1_21.709937,Pseudanabaena sp. ABRG5-3,74.6
1_21.709937,Gloeomargarita lithophora Alchichica-D10,76.2
1_21.709937,Chloroflexus aggregans DSM 9485,84.6
1_21.709937,Chloroflexus islandicus strain isl-2,85.7
1_21.709937,Candidatus Thermochlorobacteriaceae bacterium GBChlB,73.7
1_21.709937,Meiothermus silvanus DSM 9946,76.4
1_21.709937,Pseudothermotoga lettingae TMO,73.1
1_21.709937,Caldimicrobium thiodismutans strain TF1,73.5
1_21.709937,Elioraea tepidiphila DSM 17972,76.1
1_21.709937,Thermus brockianus strain GE-1,75.6
1_21.709937,Thermus aquaticus Y51MC23,75.4
1_21.709937,Meiothermus ruber DSM 1279,75.8
1_21.709937,Meiothermus taiwanensis WR-220,75.6
1_21.709937,Chloroflexus aurantiacus Y-400-fl,85.4
1_21.709937,Chloroflexus aurantiacus J-10-fl,85.4
1_21.709937,Chloroflexus sp. Y-396-1,86.3
1_21.709937,Chloroflexus sp. MS-G,85.7
1_21.709937,Oscillochloris trichoides DG-6,83.6
1_21.709937,Ignavibacterium album JCM 16511,73.5
1_21.709937,Candidatus Solibacter usitatus Ellin6076,73.3
2_7.586068,Roseiflexus sp. RS-1,75
2_7.586068,Roseiflexus castenholzii DSM 13941,75.7
2_7.586068,Thermodesulfovibrio sp. N1,100
2_7.586068,Thermodesulfovibrio thiophilus DSM 17215,95.5
2_7.586068,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,79.5
2_7.586068,Thermocrinis ruber strain DSM 23557,76.2
2_7.586068,Synechococcus sp. JA-2-3B'a(2-13),79.4
2_7.586068,Synechococcus sp. JA-3-3Ab,79.5
2_7.586068,Chloracidobacterium thermophilum B,78
2_7.586068,Pseudanabaena sp. PCC 7367,76.7
2_7.586068,Pseudanabaena sp. ABRG5-3,76.1
2_7.586068,Gloeomargarita lithophora Alchichica-D10,78.5
2_7.586068,Chloroflexus aggregans DSM 9485,74.8
2_7.586068,Chloroflexus islandicus strain isl-2,75
2_7.586068,Candidatus Thermochlorobacteriaceae bacterium GBChlB,76.8
2_7.586068,Meiothermus silvanus DSM 9946,78.2
2_7.586068,Pseudothermotoga lettingae TMO,78.2
2_7.586068,Caldimicrobium thiodismutans strain TF1,79.5
2_7.586068,Elioraea tepidiphila DSM 17972,80
2_7.586068,Thermus brockianus strain GE-1,78.1
2_7.586068,Thermus aquaticus Y51MC23,78.4
2_7.586068,Meiothermus ruber DSM 1279,75.7
2_7.586068,Meiothermus taiwanensis WR-220,76
2_7.586068,Chloroflexus aurantiacus Y-400-fl,75.6
2_7.586068,Chloroflexus aurantiacus J-10-fl,75.6
2_7.586068,Chloroflexus sp. Y-396-1,75.4
2_7.586068,Chloroflexus sp. MS-G,75.2
2_7.586068,Oscillochloris trichoides DG-6,76.4
2_7.586068,Ignavibacterium album JCM 16511,78.9
2_7.586068,Candidatus Solibacter usitatus Ellin6076,78.3
3_4.198893,Roseiflexus sp. RS-1,72.9
3_4.198893,Roseiflexus castenholzii DSM 13941,73.3
3_4.198893,Thermodesulfovibrio sp. N1,79.5
3_4.198893,Thermodesulfovibrio thiophilus DSM 17215,78.5
3_4.198893,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,100
3_4.198893,Thermocrinis ruber strain DSM 23557,78.4
3_4.198893,Synechococcus sp. JA-2-3B'a(2-13),76.2
3_4.198893,Synechococcus sp. JA-3-3Ab,76.8
3_4.198893,Chloracidobacterium thermophilum B,75.8
3_4.198893,Pseudanabaena sp. PCC 7367,74.5
3_4.198893,Pseudanabaena sp. ABRG5-3,73.9
3_4.198893,Gloeomargarita lithophora Alchichica-D10,75.3
3_4.198893,Chloroflexus aggregans DSM 9485,72.6
3_4.198893,Chloroflexus islandicus strain isl-2,72.5
3_4.198893,Candidatus Thermochlorobacteriaceae bacterium GBChlB,74.2
3_4.198893,Meiothermus silvanus DSM 9946,75.6
3_4.198893,Pseudothermotoga lettingae TMO,94
3_4.198893,Caldimicrobium thiodismutans strain TF1,80
3_4.198893,Elioraea tepidiphila DSM 17972,75.7
3_4.198893,Thermus brockianus strain GE-1,78.2
3_4.198893,Thermus aquaticus Y51MC23,78.3
3_4.198893,Meiothermus ruber DSM 1279,75
3_4.198893,Meiothermus taiwanensis WR-220,75
3_4.198893,Chloroflexus aurantiacus Y-400-fl,72.8
3_4.198893,Chloroflexus aurantiacus J-10-fl,72.8
3_4.198893,Chloroflexus sp. Y-396-1,73.1
3_4.198893,Chloroflexus sp. MS-G,73.1
3_4.198893,Oscillochloris trichoides DG-6,72.6
3_4.198893,Ignavibacterium album JCM 16511,77.4
3_4.198893,Candidatus Solibacter usitatus Ellin6076,75.7
4_25.740241,Roseiflexus sp. RS-1,77.9
4_25.740241,Roseiflexus castenholzii DSM 13941,78.7
4_25.740241,Thermodesulfovibrio sp. N1,79.4
4_25.740241,Thermodesulfovibrio thiophilus DSM 17215,78.3
4_25.740241,Pseudothermotoga hypogea DSM 11164 = NBRC 106472,76.2
4_25.740241,Thermocrinis ruber strain DSM 23557,73.3
4_25.740241,Synechococcus sp. JA-2-3B'a(2-13),100
4_25.740241,Synechococcus sp. JA-3-3Ab,96.7
4_25.740241,Chloracidobacterium thermophilum B,78.1
4_25.740241,Pseudanabaena sp. PCC 7367,87.2
4_25.740241,Pseudanabaena sp. ABRG5-3,86.6
4_25.740241,Gloeomargarita lithophora Alchichica-D10,87.5
4_25.740241,Chloroflexus aggregans DSM 9485,75.6
4_25.740241,Chloroflexus islandicus strain isl-2,75.8
4_25.740241,Candidatus Thermochlorobacteriaceae bacterium GBChlB,78.9
4_25.740241,Meiothermus silvanus DSM 9946,77.6
4_25.740241,Pseudothermotoga lettingae TMO,76.1
4_25.740241,Caldimicrobium thiodismutans strain TF1,76
4_25.740241,Elioraea tepidiphila DSM 17972,80.2
4_25.740241,Thermus brockianus strain GE-1,76.7
4_25.740241,Thermus aquaticus Y51MC23,76.5
4_25.740241,Meiothermus ruber DSM 1279,77.7
